country,,,"County subdivisions not defined, Cook County, Illinois",,,,"Barrington township, Cook County, Illinois",,"Berwyn township, Cook County, Illinois",,"Bloom township, Cook County, Illinois",,"Bremen township, Cook County, Illinois",,"Calumet township, Cook County, Illinois",,"Chicago city, Cook County, Illinois",,"Cicero township, Cook County, Illinois",,"Elk Grove township, Cook County, Illinois",,"Evanston township, Cook County, Illinois",,"Hanover township, Cook County, Illinois",,"Lemont township, Cook County, Illinois",,"Leyden township, Cook County, Illinois",,"Lyons township, Cook County, Illinois",,"Maine township, Cook County, Illinois",,"New Trier township, Cook County, Illinois",,"Niles township, Cook County, Illinois",,"Northfield township, Cook County, Illinois",,"Norwood Park township, Cook County, Illinois",,"Oak Park township, Cook County, Illinois",,"Orland township, Cook County, Illinois",,"Palatine township, Cook County, Illinois",,"Palos township, Cook County, Illinois",,"Proviso township, Cook County, Illinois",,"Rich township, Cook County, Illinois",,"River Forest township, Cook County, Illinois",,"Riverside township, Cook County, Illinois",,"Schaumburg township, Cook County, Illinois",,"Stickney township, Cook County, Illinois",,"Thornton township, Cook County, Illinois",,"Wheeling township, Cook County, Illinois",,"Worth township, Cook County, Illinois",
      China:,,,0,,,+/-89,405,+/-207,28,+/-27,10,+/-16,61,+/-58,0,+/-89,"29,246","+/-1,715",0,+/-89,488,+/-215,"1,180",+/-329,559,+/-291,35,+/-41,185,+/-100,198,+/-116,809,+/-310,983,+/-242,"1,338",+/-416,812,+/-300,69,+/-71,475,+/-159,347,+/-226,"1,778",+/-470,94,+/-73,116,+/-65,62,+/-43,94,+/-73,34,+/-39,"1,036",+/-282,34,+/-50,56,+/-40,"1,058",+/-361,124,+/-88
"        China, excluding Hong Kong and Taiwan",,,0,,,+/-89,232,+/-168,19,+/-21,10,+/-16,50,+/-55,0,+/-89,"24,807","+/-1,631",0,+/-89,234,+/-134,992,+/-315,449,+/-234,35,+/-41,152,+/-94,136,+/-120,696,+/-280,651,+/-221,827,+/-257,605,+/-258,39,+/-48,397,+/-152,295,+/-218,"1,493",+/-458,61,+/-65,95,+/-60,60,+/-42,94,+/-73,34,+/-39,474,+/-175,34,+/-50,44,+/-35,750,+/-320,107,+/-85
        Hong Kong,,,0,,,+/-89,12,+/-20,0,+/-89,0,+/-89,0,+/-89,0,+/-89,"2,677",+/-562,0,+/-89,25,+/-40,36,+/-36,13,+/-22,0,+/-89,20,+/-22,0,+/-89,113,+/-71,78,+/-57,398,+/-287,64,+/-62,30,+/-49,40,+/-34,0,+/-89,113,+/-85,0,+/-89,9,+/-15,1,+/-7,0,+/-89,0,+/-89,189,+/-125,0,+/-89,12,+/-19,90,+/-57,11,+/-17
        Taiwan,,,0,,,+/-89,161,+/-129,9,+/-15,0,+/-89,11,+/-19,0,+/-89,"1,762",+/-353,0,+/-89,229,+/-122,152,+/-95,97,+/-117,0,+/-89,13,+/-20,62,+/-49,0,+/-89,254,+/-99,113,+/-80,143,+/-87,0,+/-89,38,+/-38,52,+/-78,172,+/-101,33,+/-38,12,+/-20,1,+/-6,0,+/-89,0,+/-89,373,+/-210,0,+/-89,0,+/-89,218,+/-100,6,+/-9
      Japan,,,0,,,+/-89,31,+/-36,49,+/-52,0,+/-89,26,+/-32,0,+/-89,"2,081",+/-479,0,+/-89,525,+/-213,163,+/-93,206,+/-115,0,+/-89,10,+/-16,18,+/-28,110,+/-95,81,+/-63,57,+/-47,174,+/-117,0,+/-89,100,+/-72,26,+/-29,628,+/-245,111,+/-170,51,+/-40,10,+/-16,0,+/-89,0,+/-89,781,+/-263,0,+/-89,0,+/-89,345,+/-168,0,+/-89
      Korea,,,0,,,+/-89,152,+/-104,0,+/-89,55,+/-46,62,+/-56,39,+/-61,"8,646",+/-866,0,+/-89,654,+/-248,639,+/-187,660,+/-244,25,+/-40,152,+/-110,225,+/-170,"2,120",+/-466,830,+/-244,"3,088",+/-623,"4,496",+/-705,52,+/-54,86,+/-71,471,+/-318,"1,853",+/-425,80,+/-46,118,+/-65,26,+/-31,5,+/-8,68,+/-69,"2,478",+/-550,22,+/-37,102,+/-95,"1,482",+/-374,31,+/-27
      Other Eastern Asia,,,0,,,+/-89,0,+/-89,0,+/-89,32,+/-49,0,+/-89,0,+/-89,349,+/-214,0,+/-89,243,+/-157,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,300,+/-234,14,+/-23,183,+/-196,126,+/-198,0,+/-89,0,+/-89,18,+/-29,147,+/-159,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,46,+/-69,50,+/-67
    South Central Asia:,,,0,,,+/-89,639,+/-176,123,+/-103,97,+/-84,625,+/-356,0,+/-89,"27,915","+/-2,090",49,+/-63,"4,471",+/-706,"1,035",+/-247,"5,356",+/-754,76,+/-70,"1,050",+/-432,888,+/-377,"9,419",+/-797,614,+/-202,"7,203",+/-774,"1,761",+/-356,33,+/-39,600,+/-239,"1,065",+/-376,"3,727",+/-589,603,+/-267,694,+/-257,379,+/-211,181,+/-144,76,+/-63,"10,404","+/-1,034",133,+/-126,275,+/-187,"4,286",+/-661,293,+/-161
      Afghanistan,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,177,+/-119,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,28,+/-39,0,+/-89
      Bangladesh,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,"1,382",+/-748,34,+/-56,13,+/-18,18,+/-24,50,+/-63,0,+/-89,0,+/-89,0,+/-89,168,+/-191,11,+/-20,171,+/-144,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,32,+/-41,0,+/-89,0,+/-89,0,+/-89,21,+/-31
      India,,,0,,,+/-89,536,+/-154,123,+/-103,74,+/-78,470,+/-294,0,+/-89,"17,596","+/-1,733",15,+/-24,"4,231",+/-706,744,+/-213,"4,531",+/-704,63,+/-61,850,+/-396,483,+/-188,"7,863",+/-752,340,+/-151,"4,301",+/-646,"1,135",+/-265,13,+/-23,446,+/-211,796,+/-311,"3,383",+/-574,373,+/-210,687,+/-254,346,+/-203,153,+/-142,76,+/-63,"9,035",+/-951,95,+/-106,275,+/-187,"3,588",+/-556,151,+/-80
      Iran,,,0,,,+/-89,13,+/-21,0,+/-89,23,+/-27,0,+/-89,0,+/-89,"1,387",+/-330,0,+/-89,102,+/-88,65,+/-61,192,+/-233,0,+/-89,132,+/-156,18,+/-23,353,+/-225,173,+/-109,705,+/-286,381,+/-221,0,+/-89,49,+/-51,0,+/-89,34,+/-41,0,+/-89,7,+/-12,33,+/-35,14,+/-17,0,+/-89,206,+/-141,0,+/-89,0,+/-89,119,+/-122,0,+/-89
      Kazakhstan,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,57,+/-46,0,+/-89,12,+/-21,26,+/-22,0,+/-89,0,+/-89,0,+/-89,8,+/-12,10,+/-17,12,+/-20,11,+/-18,26,+/-30,0,+/-89,76,+/-68,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,106,+/-90,0,+/-89
      Nepal,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,796,+/-626,0,+/-89,31,+/-49,0,+/-89,45,+/-77,0,+/-89,0,+/-89,0,+/-89,72,+/-93,0,+/-89,219,+/-139,0,+/-89,0,+/-89,17,+/-25,0,+/-89,33,+/-52,0,+/-89,0,+/-89,0,+/-89,14,+/-23,0,+/-89,81,+/-72,0,+/-89,0,+/-89,0,+/-89,0,+/-89
      Pakistan,,,0,,,+/-89,90,+/-113,0,+/-89,0,+/-89,155,+/-175,0,+/-89,"5,253",+/-951,0,+/-89,82,+/-83,153,+/-77,538,+/-224,13,+/-21,68,+/-61,379,+/-356,751,+/-284,78,+/-75,"1,769",+/-387,202,+/-133,20,+/-31,12,+/-19,269,+/-198,277,+/-146,230,+/-142,0,+/-89,0,+/-89,0,+/-89,0,+/-89,"1,009",+/-512,38,+/-49,0,+/-89,113,+/-91,121,+/-153
      Sri Lanka,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,336,+/-255,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,197,+/-180,0,+/-89,5,+/-12,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,11,+/-16,0,+/-89
      Uzbekistan,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,221,+/-148,0,+/-89,0,+/-89,29,+/-43,0,+/-89,0,+/-89,0,+/-89,0,+/-89,5,+/-9,0,+/-89,22,+/-26,17,+/-28,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,41,+/-64,0,+/-89,0,+/-89,274,+/-187,0,+/-89
      Other South Central Asia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,710,+/-519,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,47,+/-59,0,+/-89
    South Eastern Asia:,,,0,,,+/-89,231,+/-164,614,+/-256,149,+/-89,474,+/-198,0,+/-89,"34,532","+/-1,908",217,+/-177,"1,675",+/-443,556,+/-215,"2,904",+/-534,35,+/-38,"1,581",+/-402,690,+/-279,"3,440",+/-672,378,+/-159,"6,299",+/-759,"1,194",+/-429,860,+/-300,514,+/-190,"1,000",+/-338,"1,418",+/-394,390,+/-299,"1,567",+/-399,468,+/-265,97,+/-78,194,+/-178,"2,236",+/-507,470,+/-352,218,+/-111,"2,935",+/-639,856,+/-426
      Cambodia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,9,+/-14,0,+/-89,847,+/-293,0,+/-89,0,+/-89,0,+/-89,17,+/-25,0,+/-89,9,+/-14,0,+/-89,10,+/-16,0,+/-89,250,+/-230,12,+/-17,0,+/-89,0,+/-89,14,+/-22,0,+/-89,0,+/-89,27,+/-29,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,238,+/-259,0,+/-89
      Indonesia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,25,+/-36,0,+/-89,265,+/-119,87,+/-145,14,+/-21,17,+/-23,0,+/-89,0,+/-89,0,+/-89,0,+/-89,16,+/-27,0,+/-89,57,+/-59,0,+/-89,0,+/-89,0,+/-89,0,+/-89,21,+/-38,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,52,+/-68,0,+/-89,0,+/-89,61,+/-49,12,+/-19
      Laos,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,16,+/-31,0,+/-89,669,+/-186,0,+/-89,0,+/-89,0,+/-89,659,+/-281,0,+/-89,0,+/-89,0,+/-89,33,+/-52,0,+/-89,10,+/-16,0,+/-89,0,+/-89,27,+/-47,0,+/-89,14,+/-24,0,+/-89,0,+/-89,39,+/-69,0,+/-89,0,+/-89,43,+/-46,0,+/-89,0,+/-89,0,+/-89,13,+/-21
      Malaysia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,796,+/-383,0,+/-89,0,+/-89,15,+/-23,160,+/-163,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,33,+/-40,0,+/-89,0,+/-89,8,+/-12,0,+/-89,11,+/-20,0,+/-89,1,+/-2,22,+/-26,0,+/-89,0,+/-89,29,+/-44,0,+/-89,0,+/-89,15,+/-20,0,+/-89
      Burma,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,506,+/-301,0,+/-89,25,+/-40,0,+/-89,28,+/-42,0,+/-89,16,+/-25,0,+/-89,48,+/-70,0,+/-89,34,+/-33,18,+/-30,0,+/-89,16,+/-24,0,+/-89,22,+/-38,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,9,+/-17,3,+/-6,0,+/-89,77,+/-94,16,+/-19
      Philippines,,,0,,,+/-89,231,+/-164,456,+/-238,106,+/-70,424,+/-182,0,+/-89,"22,308","+/-1,789",130,+/-110,"1,436",+/-416,260,+/-122,"1,809",+/-476,35,+/-38,"1,303",+/-375,535,+/-246,"2,948",+/-635,198,+/-114,"4,492",+/-634,"1,056",+/-411,855,+/-300,313,+/-157,903,+/-320,"1,175",+/-366,236,+/-133,"1,224",+/-321,340,+/-244,84,+/-75,160,+/-167,"1,853",+/-444,441,+/-348,172,+/-92,"1,984",+/-517,681,+/-417
      Singapore,,,0,,,+/-89,0,+/-89,0,+/-89,10,+/-16,0,+/-89,0,+/-89,292,+/-165,0,+/-89,0,+/-89,9,+/-15,0,+/-89,0,+/-89,0,+/-89,0,+/-89,9,+/-16,10,+/-15,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,1,+/-3
      Thailand,,,0,,,+/-89,0,+/-89,41,+/-43,0,+/-89,0,+/-89,0,+/-89,"2,157",+/-595,0,+/-89,10,+/-16,44,+/-53,110,+/-94,0,+/-89,49,+/-51,155,+/-129,120,+/-80,170,+/-105,393,+/-169,59,+/-75,5,+/-9,114,+/-94,73,+/-65,37,+/-56,0,+/-89,202,+/-158,40,+/-46,13,+/-20,0,+/-89,178,+/-112,0,+/-89,0,+/-89,20,+/-30,26,+/-42
      Vietnam,,,0,,,+/-89,0,+/-89,117,+/-97,33,+/-52,0,+/-89,0,+/-89,"6,692",+/-923,0,+/-89,190,+/-167,211,+/-143,121,+/-94,0,+/-89,204,+/-206,0,+/-89,256,+/-137,0,+/-89,"1,030",+/-350,49,+/-55,0,+/-89,36,+/-44,10,+/-17,138,+/-109,154,+/-243,113,+/-147,27,+/-45,0,+/-89,34,+/-54,72,+/-49,26,+/-42,46,+/-50,540,+/-246,107,+/-136
      Other South Eastern Asia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
    Western Asia:,,,0,,,+/-89,145,+/-116,69,+/-63,8,+/-13,306,+/-174,0,+/-89,"11,973","+/-1,110",25,+/-29,453,+/-213,250,+/-113,393,+/-196,114,+/-94,405,+/-194,513,+/-221,"2,469",+/-680,181,+/-104,"5,372",+/-769,851,+/-295,254,+/-237,30,+/-27,"1,332",+/-405,213,+/-128,"1,807",+/-622,333,+/-247,0,+/-89,40,+/-34,0,+/-89,"1,050",+/-304,497,+/-202,1,+/-4,672,+/-208,"1,705",+/-469
      Iraq,,,0,,,+/-89,14,+/-22,11,+/-17,0,+/-89,0,+/-89,0,+/-89,"3,831",+/-783,0,+/-89,137,+/-131,0,+/-89,62,+/-65,16,+/-26,28,+/-42,19,+/-31,"1,480",+/-627,9,+/-14,"2,797",+/-617,41,+/-40,13,+/-20,0,+/-89,16,+/-26,15,+/-58,0,+/-89,39,+/-37,0,+/-89,0,+/-89,0,+/-89,344,+/-188,0,+/-89,0,+/-89,270,+/-149,226,+/-355
      Israel,,,0,,,+/-89,51,+/-76,0,+/-89,0,+/-89,38,+/-46,0,+/-89,"1,324",+/-312,0,+/-89,16,+/-25,132,+/-72,0,+/-89,0,+/-89,16,+/-24,110,+/-104,26,+/-28,91,+/-72,689,+/-235,363,+/-260,0,+/-89,0,+/-89,258,+/-153,41,+/-53,199,+/-159,2,+/-6,0,+/-89,6,+/-10,0,+/-89,68,+/-80,98,+/-82,0,+/-89,155,+/-96,313,+/-128
      Jordan,,,0,,,+/-89,28,+/-30,38,+/-46,0,+/-89,208,+/-138,0,+/-89,"1,394",+/-365,25,+/-29,31,+/-36,0,+/-89,24,+/-34,0,+/-89,111,+/-110,183,+/-128,243,+/-198,0,+/-89,147,+/-122,105,+/-98,0,+/-89,0,+/-89,567,+/-267,0,+/-89,550,+/-257,51,+/-49,0,+/-89,0,+/-89,0,+/-89,70,+/-59,196,+/-136,0,+/-89,34,+/-55,831,+/-313
      Kuwait,,,0,,,+/-89,0,+/-89,11,+/-17,0,+/-89,0,+/-89,0,+/-89,180,+/-92,0,+/-89,28,+/-46,0,+/-89,14,+/-22,50,+/-70,33,+/-46,0,+/-89,59,+/-65,0,+/-89,0,+/-89,0,+/-89,11,+/-18,0,+/-89,99,+/-57,10,+/-17,65,+/-55,51,+/-70,0,+/-89,10,+/-16,0,+/-89,0,+/-89,75,+/-69,0,+/-89,0,+/-89,82,+/-68
      Lebanon,,,0,,,+/-89,0,+/-89,0,+/-89,8,+/-13,50,+/-76,0,+/-89,852,+/-269,0,+/-89,10,+/-17,0,+/-89,57,+/-73,35,+/-54,15,+/-22,108,+/-87,104,+/-89,42,+/-51,413,+/-235,41,+/-31,0,+/-89,11,+/-17,145,+/-152,53,+/-50,42,+/-64,139,+/-169,0,+/-89,0,+/-89,0,+/-89,79,+/-73,0,+/-89,0,+/-89,63,+/-62,55,+/-76
      Saudi Arabia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,509,+/-193,0,+/-89,37,+/-50,0,+/-89,51,+/-50,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,15,+/-23,16,+/-24,0,+/-89,0,+/-89,20,+/-24,27,+/-59,48,+/-49,45,+/-40,0,+/-89,0,+/-89,0,+/-89,0,+/-89,23,+/-34,0,+/-89,0,+/-89,22,+/-36
      Syria,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,10,+/-16,0,+/-89,"1,145",+/-384,0,+/-89,11,+/-18,14,+/-21,138,+/-135,0,+/-89,148,+/-131,23,+/-36,402,+/-211,23,+/-43,801,+/-298,96,+/-135,0,+/-89,0,+/-89,109,+/-93,19,+/-22,95,+/-104,6,+/-12,0,+/-89,0,+/-89,0,+/-89,204,+/-222,0,+/-89,0,+/-89,38,+/-31,0,+/-89
      Yemen,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,522,+/-384,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,34,+/-44,0,+/-89,0,+/-89,158,+/-128,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,580,+/-523,0,+/-89,0,+/-89,0,+/-89,0,+/-89,9,+/-15,52,+/-56,0,+/-89,0,+/-89,142,+/-112
      Turkey,,,0,,,+/-89,0,+/-89,9,+/-15,0,+/-89,0,+/-89,0,+/-89,"1,286",+/-343,0,+/-89,160,+/-134,86,+/-70,5,+/-15,13,+/-20,22,+/-36,36,+/-35,48,+/-46,16,+/-20,104,+/-102,63,+/-59,10,+/-16,10,+/-16,118,+/-175,0,+/-89,10,+/-16,0,+/-89,0,+/-89,13,+/-19,0,+/-89,237,+/-223,0,+/-89,1,+/-4,15,+/-26,34,+/-36
      Armenia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,271,+/-187,0,+/-89,0,+/-89,18,+/-27,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,155,+/-206,10,+/-16,220,+/-240,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
      Other Western Asia,,,0,,,+/-89,52,+/-75,0,+/-89,0,+/-89,0,+/-89,0,+/-89,659,+/-236,0,+/-89,23,+/-36,0,+/-89,42,+/-39,0,+/-89,32,+/-45,0,+/-89,107,+/-95,0,+/-89,93,+/-83,116,+/-84,0,+/-89,9,+/-14,0,+/-89,48,+/-57,218,+/-242,0,+/-89,0,+/-89,11,+/-17,0,+/-89,39,+/-44,53,+/-45,0,+/-89,97,+/-79,0,+/-89
"    Asia,n.e.c.",,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,83,+/-75,0,+/-89,"1,302",+/-439,42,+/-49,37,+/-41,25,+/-28,26,+/-43,0,+/-89,32,+/-44,419,+/-270,121,+/-81,16,+/-25,25,+/-29,37,+/-44,34,+/-38,8,+/-12,486,+/-222,24,+/-26,450,+/-254,22,+/-52,0,+/-89,0,+/-89,0,+/-89,13,+/-22,301,+/-152,13,+/-22,70,+/-80,685,+/-273
  Africa:,,,0,,,+/-89,38,+/-42,323,+/-225,265,+/-154,514,+/-263,91,+/-57,"21,362","+/-1,606",44,+/-50,415,+/-201,446,+/-199,255,+/-140,0,+/-89,112,+/-76,468,+/-304,448,+/-277,171,+/-90,451,+/-235,337,+/-145,30,+/-47,265,+/-154,193,+/-138,350,+/-152,236,+/-182,534,+/-219,744,+/-271,51,+/-85,0,+/-89,"1,054",+/-485,74,+/-80,"1,117",+/-366,320,+/-184,528,+/-227
    Eastern Africa:,,,0,,,+/-89,0,+/-89,1,+/-2,18,+/-28,4,+/-8,0,+/-89,"4,815",+/-932,13,+/-21,109,+/-71,25,+/-26,101,+/-128,0,+/-89,10,+/-13,0,+/-89,58,+/-57,80,+/-66,111,+/-82,82,+/-57,0,+/-89,7,+/-11,39,+/-63,33,+/-35,0,+/-89,21,+/-31,65,+/-48,0,+/-89,0,+/-89,275,+/-152,0,+/-89,0,+/-89,100,+/-96,97,+/-129
      Eritrea,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,365,+/-286,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,35,+/-41,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,72,+/-123
      Ethiopia,,,0,,,+/-89,0,+/-89,1,+/-2,0,+/-89,0,+/-89,0,+/-89,"2,299",+/-701,0,+/-89,0,+/-89,13,+/-19,34,+/-63,0,+/-89,0,+/-89,0,+/-89,1,+/-2,0,+/-89,0,+/-89,11,+/-16,0,+/-89,0,+/-89,39,+/-63,0,+/-89,0,+/-89,21,+/-31,30,+/-35,0,+/-89,0,+/-89,60,+/-68,0,+/-89,0,+/-89,0,+/-89,0,+/-89
      Kenya,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,753,+/-275,0,+/-89,14,+/-20,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,23,+/-25,0,+/-89,19,+/-25,29,+/-50,0,+/-89,7,+/-11,0,+/-89,27,+/-33,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,62,+/-47,0,+/-89,0,+/-89,45,+/-75,25,+/-36
      Other Eastern Africa,,,0,,,+/-89,0,+/-89,0,+/-89,18,+/-28,4,+/-8,0,+/-89,"1,398",+/-465,13,+/-21,95,+/-72,12,+/-19,67,+/-92,0,+/-89,10,+/-13,0,+/-89,34,+/-51,80,+/-66,57,+/-53,42,+/-43,0,+/-89,0,+/-89,0,+/-89,6,+/-10,0,+/-89,0,+/-89,35,+/-32,0,+/-89,0,+/-89,153,+/-118,0,+/-89,0,+/-89,55,+/-54,0,+/-89
    Middle Africa:,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,862,+/-305,0,+/-89,0,+/-89,157,+/-144,0,+/-89,0,+/-89,24,+/-39,0,+/-89,0,+/-89,0,+/-89,0,+/-89,10,+/-17,0,+/-89,13,+/-20,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,21,+/-32,0,+/-89
      Cameroon,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,301,+/-238,0,+/-89,0,+/-89,143,+/-144,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
      Other Middle Africa,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,561,+/-201,0,+/-89,0,+/-89,14,+/-23,0,+/-89,0,+/-89,24,+/-39,0,+/-89,0,+/-89,0,+/-89,0,+/-89,10,+/-17,0,+/-89,13,+/-20,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,21,+/-32,0,+/-89
    Northern Africa:,,,0,,,+/-89,0,+/-89,113,+/-121,9,+/-13,56,+/-103,0,+/-89,"2,548",+/-568,31,+/-49,211,+/-160,29,+/-46,0,+/-89,0,+/-89,67,+/-64,312,+/-244,155,+/-86,33,+/-32,25,+/-22,32,+/-39,30,+/-47,52,+/-51,52,+/-66,68,+/-52,236,+/-182,146,+/-99,0,+/-89,0,+/-89,0,+/-89,312,+/-304,74,+/-80,0,+/-89,172,+/-157,398,+/-192
      Egypt,,,0,,,+/-89,0,+/-89,31,+/-36,9,+/-13,0,+/-89,0,+/-89,802,+/-268,0,+/-89,22,+/-35,29,+/-46,0,+/-89,0,+/-89,18,+/-30,312,+/-244,125,+/-78,18,+/-21,0,+/-89,18,+/-30,30,+/-47,17,+/-18,52,+/-66,68,+/-52,154,+/-128,66,+/-66,0,+/-89,0,+/-89,0,+/-89,288,+/-302,56,+/-76,0,+/-89,124,+/-144,69,+/-64
      Morocco,,,0,,,+/-89,0,+/-89,82,+/-116,0,+/-89,0,+/-89,0,+/-89,801,+/-230,31,+/-49,120,+/-139,0,+/-89,0,+/-89,0,+/-89,32,+/-51,0,+/-89,22,+/-37,0,+/-89,25,+/-22,14,+/-23,0,+/-89,8,+/-13,0,+/-89,0,+/-89,52,+/-84,12,+/-19,0,+/-89,0,+/-89,0,+/-89,24,+/-45,18,+/-22,0,+/-89,48,+/-62,164,+/-128
      Sudan,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,280,+/-192,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,21,+/-32,35,+/-48,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,74,+/-87
